City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
87,grand-lahou,15,CI,1571242263,84,5.24,79.25,13.09,-5.0
88,torbay,90,CA,1571242263,100,47.66,57.99,12.75,-52.73
89,port elizabeth,90,US,1571242263,82,39.31,69.01,10.29,-74.98
90,walvis bay,0,NA,1571242264,47,-22.95,77.0,10.29,14.51
91,clyde river,75,CA,1571242264,92,70.47,26.6,10.29,-68.59
92,sena madureira,93,BR,1571242264,86,-9.07,81.77,2.91,-68.66
93,kodiak,90,US,1571242265,70,39.95,48.0,9.17,-94.76
94,dingle,99,PH,1571241672,90,11.0,74.75,7.73,122.67
95,lavrentiya,100,RU,1571242265,74,65.58,34.61,11.9,-170.99
96,hasaki,25,JP,1571242266,82,35.73,59.0,4.7,140.83
97,mana,77,NG,1571242266,29,13.03,96.35,1.45,5.27
98,yellowknife,90,CA,1571242267,98,62.45,32.0,13.87,-114.38
99,churapcha,100,RU,1571242267,94,62.0,18.41,6.91,132.43
100,tiksi,100,RU,1571242267,96,71.64,22.55,5.41,128.87
101,santa isabel,20,MX,1571242271,29,32.63,77.0,6.93,-115.58
102,ilulissat,40,GL,1571242271,53,69.22,26.6,4.82,-51.1
103,robore,4,BO,1571242271,73,-18.33,75.2,5.25,-59.76
104,sola,55,TZ,1571242272,23,-3.17,88.07,8.51,33.8
105,upernavik,100,GL,1571242272,93,72.79,28.49,9.97,-56.15
106,pocao de pedras,50,BR,1571242272,58,-4.67,88.43,6.31,-44.85
107,barrow,100,AR,1571242273,70,-38.31,56.21,8.11,-60.23
108,jumla,0,NP,1571241711,94,29.28,43.79,2.86,82.18
109,ahipara,80,NZ,1571242273,100,-35.17,52.0,20.41,173.16
110,umm lajj,100,SA,1571242274,58,25.02,84.47,6.24,37.27
111,san patricio,99,PY,1571242274,72,-26.98,73.49,2.85,-56.83
112,cayenne,75,GF,1571242274,62,4.94,87.8,11.41,-52.33
113,san policarpo,27,PH,1571242275,83,12.18,81.05,10.08,125.51
114,oistins,75,BB,1571242275,62,13.07,89.6,13.87,-59.53
115,ishigaki,6,JP,1571242275,82,24.34,78.53,19.56,124.16
116,hobart,0,AU,1571242275,47,-42.88,41.0,8.27,147.33
117,bethel,1,US,1571242276,92,60.79,30.2,5.82,-161.76
118,cockburn town,75,TC,1571242276,70,21.46,86.0,4.7,-71.14
119,tecoanapa,90,MX,1571241695,88,16.99,78.8,2.24,-99.26
120,lieksa,100,FI,1571242277,97,63.32,34.07,3.78,30.02
121,wajir,75,KE,1571242278,52,1.75,89.6,10.32,40.07
122,kupino,100,RU,1571242278,81,54.36,44.15,19.81,77.31
123,nanzhou,86,CN,1571242279,88,29.37,52.61,5.88,112.41
124,tasiilaq,5,GL,1571242279,47,65.61,37.4,7.92,-37.64
125,guerrero,90,AR,1571242279,87,-24.19,51.8,3.36,-65.45
126,lebu,75,ET,1571242280,48,8.96,64.4,9.17,38.73
127,phon,36,TH,1571242280,71,15.81,78.17,10.43,102.61
128,codrington,33,AU,1571242280,88,-28.95,72.0,8.05,153.24
129,mao,20,DO,1571242281,59,19.55,91.0,11.41,-71.08
130,cabedelo,40,BR,1571242282,51,-6.97,86.0,17.22,-34.84
